rank,design,seq,theozyme_rmsd,n_atoms,tz_plddt,global_plddt,cif
57,25,3,3.3724,24,73.2,87.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
58,10,4,3.3770,24,65.8,90.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
59,43,5,3.3822,24,73.0,91.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
60,25,1,3.3843,24,64.3,86.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
61,40,0,3.3862,24,75.2,91.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
62,21,1,3.3899,24,44.8,82.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
63,26,2,3.3903,24,56.3,85.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
64,33,4,3.4224,24,54.5,85.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
65,42,6,3.4230,24,56.9,84.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_42-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
66,40,4,3.4250,24,65.7,90.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_40-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
67,46,5,3.4250,24,60.1,88.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
68,11,3,3.4252,24,58.3,86.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_11-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
69,2,0,3.4335,24,59.9,86.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_2-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
70,18,7,3.4625,24,71.4,89.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
71,28,2,3.4740,24,63.9,88.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
72,49,3,3.4771,24,59.8,83.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_49-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
73,14,6,3.4943,24,66.3,87.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_14-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
74,28,7,3.4943,24,65.0,89.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
75,30,3,3.5051,24,49.2,85.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_30-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
76,20,6,3.5066,24,76.2,89.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
77,45,5,3.5078,24,53.8,84.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
78,13,3,3.5127,24,57.9,88.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
79,5,4,3.5128,24,74.0,85.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
80,47,4,3.5268,24,60.9,88.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
81,9,2,3.5433,24,55.8,82.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_9-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
82,19,5,3.5548,24,62.2,84.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
83,19,7,3.5780,24,54.1,81.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
84,47,6,3.5958,24,80.9,92.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
85,19,6,3.5976,24,64.9,83.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_19-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
86,29,0,3.6002,24,80.5,91.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
87,9,0,3.6006,24,46.5,79.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_9-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
88,41,7,3.6018,24,74.0,86.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
89,9,1,3.6030,24,74.9,84.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_9-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
90,20,5,3.6232,24,61.8,85.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
91,1,1,3.6265,24,64.2,87.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
92,9,7,3.6352,24,50.4,80.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_9-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
93,46,7,3.6390,24,62.4,86.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
94,14,3,3.6465,24,66.9,89.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_14-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
95,12,2,3.6505,24,64.2,90.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_12-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
96,26,6,3.6817,24,64.5,88.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
97,20,3,3.6874,24,65.7,88.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
98,6,5,3.7151,24,71.1,90.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
99,22,3,3.7165,24,73.5,86.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
100,33,0,3.7300,24,71.1,87.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
101,6,3,3.7409,24,63.4,88.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
102,32,6,3.7414,24,65.7,88.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
103,15,6,3.7459,24,73.7,91.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_15-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
104,5,0,3.7491,24,54.7,78.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
105,33,2,3.7513,24,60.6,86.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
106,37,4,3.7563,24,58.9,87.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_37-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
107,29,5,3.7628,24,75.1,90.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
108,20,7,3.7774,24,63.9,89.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_20-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
109,45,0,3.8111,24,69.4,90.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_45-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
110,5,1,3.8142,24,58.6,80.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
111,48,0,3.8187,24,51.4,82.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
112,6,0,3.8212,24,85.3,93.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_6-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
113,18,0,3.8229,24,71.8,91.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
114,10,1,3.8297,24,55.1,85.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
115,42,7,3.8332,24,58.1,86.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_42-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
116,25,4,3.8383,24,69.6,91.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_25-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
117,14,5,3.8407,24,59.8,88.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_14-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
118,22,1,3.8524,24,69.5,85.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
119,8,2,3.8543,24,63.3,86.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_8-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
120,17,7,3.8756,24,69.6,87.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_17-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
121,41,3,3.8763,24,49.3,84.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
122,21,5,3.8852,24,49.6,84.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_21-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
123,33,3,3.8934,24,63.6,86.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
124,11,0,3.9018,24,61.6,86.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_11-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
125,13,6,3.9027,24,76.5,90.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_13-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
126,24,6,3.9091,24,58.7,84.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
127,1,5,3.9102,24,57.0,85.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
128,12,0,3.9187,24,65.2,90.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_12-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
129,5,3,3.9230,24,61.2,79.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_5-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
130,22,4,3.9263,24,69.3,85.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_22-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
131,46,0,3.9648,24,60.0,87.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
132,28,0,3.9866,24,59.8,89.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_28-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
133,11,7,3.9876,24,66.3,87.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_11-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
