protein_id,category,lambda_max,sequence_length,organism,expression_level,thermal_stability,ph_optimum,extinction_coefficient,quantum_yield,photocycle_time,membrane_spanning,molecular_weight,isoelectric_point,hydrophobicity_score,conservation_score,crystallization_success,functional_activity,ion_selectivity,pump_rate,conductance,signaling_type,light_adaptation
NpHR_A,Halorhodopsin,575.2,259,Natronobacterium,high,43.0,8.1,77314,0.208,31.4,7,28.5,6.9,0.47,0.72,no,inactive,chloride,63.8,,,
NpSRII_A,Sensory_rhodopsin,498.4,217,Anabaena,high,64.5,6.7,55413,0.353,5.0,7,23.9,9.1,0.37,0.93,no,active,,,,photophobic,both
NsXeR_A,Xanthorhodopsin,562.0,232,Salinibacter,medium,69.6,7.8,58233,0.786,45.2,7,25.5,7.7,0.65,0.62,no,active,proton,314.7,,,
O1O2_A,Other,599.9,223,Various,medium,25.7,6.3,63861,0.235,6.2,7,24.5,6.6,0.7,0.86,yes,active,,,,,
OLPVR1_A,Other,528.4,222,Various,medium,50.8,7.6,41881,0.492,24.3,7,24.4,8.9,0.57,0.75,no,active,,,,,
OLPVRII_A,Other,570.6,212,Various,medium,73.5,7.3,45609,0.714,21.2,7,23.3,6.8,0.8,0.6,no,active,,,,,
OcHeR_A,Halorhodopsin,588.7,266,Natronobacterium,high,67.5,6.9,66031,0.381,24.3,7,29.3,7.6,0.74,0.94,no,active,chloride,47.9,,,
OtHKR_A,Other,560.6,912,Various,low,50.5,6.7,37778,0.264,2.6,7,100.3,4.6,0.79,0.75,no,active,,,,,
PhaeoRD1_A,Other,482.7,330,Various,high,42.9,8.0,25364,0.392,44.0,7,36.3,9.2,0.53,0.81,no,unknown,,,,,
PhaeoRD2_A,Other,484.8,301,Various,high,72.5,7.3,33840,0.224,11.4,7,33.1,5.4,0.69,0.72,yes,unknown,,,,,
PoClR_A,Other,582.6,296,Various,high,79.3,8.5,30433,0.377,38.0,7,32.6,8.0,0.38,0.89,no,active,,,,,
PoXeR_A,Xanthorhodopsin,556.1,248,Salinibacter,high,53.0,7.0,36377,0.434,2.7,7,27.3,8.8,0.32,0.72,no,inactive,proton,176.6,,,
PsACR_A,Actinorhodopsin,522.6,291,Guillardia,low,71.9,7.8,49752,0.157,11.4,7,32.0,7.9,0.34,0.9,no,active,,,,,
PsChR2_A,Channelrhodopsin,505.5,227,Volvox,medium,63.2,8.2,64034,0.465,43.5,7,25.0,5.7,0.38,0.66,no,active,cation,,3.4,,
PspR_A,Proteorhodopsin,514.7,226,SAR11,low,85.3,8.2,77678,0.426,44.0,7,24.9,4.5,0.71,0.68,no,active,proton,300.3,,,
PsuACR_353_A,Actinorhodopsin,537.7,300,Cryptophytes,low,51.3,7.4,26950,0.364,0.9,7,33.0,8.6,0.36,0.7,yes,active,,,,,
RgRGC1_A,Other,576.0,319,Various,medium,46.1,6.4,65221,0.652,9.1,7,35.1,8.4,0.77,0.66,no,inactive,,,,,
RgRGC2_A,Other,521.0,320,Various,low,85.3,7.5,43016,0.146,41.2,7,35.2,6.4,0.71,0.69,yes,active,,,,,
RmHR_A,Halorhodopsin,579.4,245,Halobacterium,low,43.9,8.1,51621,0.678,15.3,7,26.9,8.7,0.69,0.68,yes,unknown,chloride,96.7,,,
RxR_A,Xanthorhodopsin,540.9,229,Salinibacter,high,82.7,7.0,36452,0.789,20.8,7,25.2,9.0,0.41,0.67,yes,active,proton,215.8,,,
S13_Bin138_Proteo_SR_A,Sensory_rhodopsin,514.6,161,Anabaena,high,38.9,6.5,72117,0.644,38.7,7,17.7,8.7,0.68,0.82,yes,active,,,,photophobic,dark
SpaR_A,Other,542.5,227,Various,medium,39.5,6.3,61133,0.401,10.4,7,25.0,7.0,0.33,0.8,no,inactive,,,,,
SrRhPDE_A,Sensory_rhodopsin,492.4,264,Halobacterium,low,54.3,7.2,60827,0.377,48.7,7,29.0,8.1,0.63,0.86,no,unknown,,,,phototaxis,dark
SrSRI_A,Sensory_rhodopsin,510.0,239,Halobacterium,low,91.0,7.8,53578,0.107,16.7,7,26.3,7.1,0.34,0.72,yes,active,,,,photophobic,both
SsGHR_A,Halorhodopsin,572.7,255,Natronobacterium,low,54.7,7.7,69286,0.129,33.7,7,28.1,9.3,0.36,0.91,no,active,chloride,65.2,,,
SyHR_A,Halorhodopsin,576.0,223,Haloarcula,medium,62.8,7.2,59649,0.487,30.1,7,24.5,8.4,0.54,0.61,no,active,chloride,75.2,,,
SzR1_A,Other,539.0,201,Various,medium,74.6,7.2,56944,0.33,23.8,7,22.1,8.2,0.74,0.75,yes,active,,,,,
SzR4_A,Other,453.1,199,Various,medium,62.6,7.2,24891,0.382,11.4,7,21.9,6.6,0.4,0.89,no,unknown,,,,,
TATLA_A,Other,512.4,244,Various,high,25.0,7.6,64121,0.637,25.5,7,26.8,7.2,0.56,0.81,yes,active,,,,,
TAT_A,Other,540.9,249,Various,medium,64.0,8.5,37031,0.351,19.5,7,27.4,6.8,0.72,0.68,no,active,,,,,
TR_A,Other,540.3,250,Various,medium,72.0,6.9,50756,0.389,3.9,7,27.5,6.7,0.35,0.74,no,active,,,,,
TaHeR_A,Halorhodopsin,583.3,250,Natronobacterium,low,60.6,6.6,59404,0.328,38.8,7,27.5,5.2,0.78,0.76,no,active,chloride,25.3,,,
Tara_RRB_2_retinals_A,Other,528.0,994,Various,medium,53.7,8.1,45853,0.274,31.0,7,109.3,8.0,0.38,0.66,yes,inactive,,,,,
Tara_RRB_A,Other,549.6,994,Various,medium,60.7,7.5,72096,0.244,6.0,7,109.3,5.8,0.33,0.79,no,active,,,,,
V2HeR3_A,Halorhodopsin,572.4,247,Haloarcula,low,61.5,6.2,26198,0.509,34.6,7,27.2,6.5,0.54,0.84,yes,active,chloride,97.6,,,
VbACR2_A,Actinorhodopsin,532.4,540,Cryptophytes,medium,61.4,6.3,27962,0.2,47.0,7,59.4,8.2,0.38,0.67,no,active,,,,,
VcChR1_A,Channelrhodopsin,484.1,837,Chlorogonium,low,23.7,7.7,70286,0.761,34.3,7,92.1,7.0,0.61,0.9,no,active,mixed,,4.0,,
VcChR2_A,Channelrhodopsin,525.1,747,Chlamydomonas,low,38.7,7.6,26395,0.56,50.0,7,82.2,4.7,0.79,0.74,no,inactive,cation,,1.5,,
VirR_A,Other,466.4,224,Various,medium,79.5,7.9,75540,0.407,45.1,7,24.6,8.9,0.46,0.9,no,active,,,,,
WiChR_A,Channelrhodopsin,508.9,745,Chlamydomonas,medium,35.8,7.7,43313,0.414,12.3,7,82.0,6.4,0.41,0.63,no,active,mixed,,3.8,,
XR_A,Xanthorhodopsin,555.0,252,Salinibacter,high,30.3,7.3,48750,0.118,17.4,7,27.7,6.4,0.5,0.8,no,active,proton,394.2,,,
ZipACR_A,Actinorhodopsin,539.4,311,Guillardia,medium,74.8,7.1,73802,0.15,47.8,7,34.2,7.8,0.49,0.67,no,active,,,,,
ZipACR__A,Actinorhodopsin,520.0,311,Mesostigma,low,56.3,6.8,68181,0.477,15.9,7,34.2,7.6,0.66,0.7,no,active,,,,,
cR3_A,Other,477.2,234,Various,medium,56.6,7.8,26412,0.497,13.2,7,25.7,9.3,0.54,0.88,no,active,,,,,
cyR2_P7104R_A,Other,545.0,236,Various,high,35.0,7.5,69151,0.719,11.8,7,26.0,5.6,0.61,0.74,no,unknown,,,,,
cyR_N2098R_A,Other,503.0,242,Various,low,44.2,8.1,45424,0.567,5.2,7,26.6,7.6,0.53,0.81,no,inactive,,,,,
cyR_N4075R_A,Other,579.4,226,Various,low,68.4,6.2,21418,0.549,30.6,7,24.9,7.2,0.42,0.74,no,active,,,,,
dR3_A,Other,598.2,238,Various,low,42.9,7.1,63055,0.585,49.6,7,26.2,5.1,0.35,0.85,no,active,,,,,
iC___A,Other,461.9,281,Various,low,79.6,8.2,31512,0.326,11.7,7,30.9,6.3,0.33,0.78,yes,unknown,,,,,
vPyACR_21821_A,Actinorhodopsin,522.0,409,Mesostigma,low,80.3,6.6,47411,0.233,3.1,7,45.0,6.4,0.48,0.95,no,active,,,,,
